feature,outcome,r,p_value,n,method,x_normal,y_normal
sampen_mother_mHR_accel,Mother Score PDQ,0.046457941306019664,0.6173848886335326,118,spearman,False,False
sampen_mother_mHR_accel,Mother CORTISOL (pg/mg of maternal hair),-0.13923674653748214,0.19058956542076763,90,spearman,False,False
sampen_mother_mHR_accel,COG COMPOSITE SCORE,0.07744525015061496,0.5397503588624895,65,spearman,False,False
sampen_mother_mHR_accel,LANG RECEPT SCORE,0.08487742727425451,0.5227178516672799,59,spearman,False,True
sampen_mother_mHR_accel,LANG EXPRES SCORE,-0.051120000887315185,0.7006002246763825,59,spearman,False,True
sampen_mother_mHR_accel,LANG COMP SCORE,0.04319551840826064,0.7452993651882727,59,spearman,False,True
sampen_mother_mHR_accel,MOTOR FINE  SKILLS SCORE,-0.2863713218537951,0.022883904235465814,63,spearman,False,True
sampen_mother_mHR_accel,MOTOR GROSS SKILLS SCORE,-0.14371430491039128,0.2572362845287159,64,spearman,False,False
sampen_mother_mHR_accel,MOTOR COMPOSITE SCORE,-0.2084646498922407,0.10109438873390239,63,spearman,False,True
sampen_fetus_mHR_decel,Mother Score_PSS,-0.01778426142903257,0.8484118935434711,118,spearman,False,False
sampen_fetus_mHR_decel,Mother Score PDQ,-0.14318225165307943,0.12191593933673828,118,spearman,False,False
sampen_fetus_mHR_decel,Mother CORTISOL (pg/mg of maternal hair),-0.03239851695598049,0.7617812673940104,90,spearman,False,False
sampen_fetus_mHR_decel,COG COMPOSITE SCORE,0.07052513396452724,0.5766701618817482,65,spearman,False,False
sampen_fetus_mHR_decel,LANG RECEPT SCORE,0.08449628641462756,0.524593257688097,59,spearman,False,True
sampen_fetus_mHR_decel,LANG EXPRES SCORE,0.13384103762156313,0.312202099531945,59,spearman,False,True
sampen_fetus_mHR_decel,LANG COMP SCORE,0.14584864553687346,0.2703654042330592,59,spearman,False,True
sampen_fetus_mHR_decel,MOTOR FINE  SKILLS SCORE,-0.2319215939696907,0.06740210822204802,63,spearman,False,True
sampen_fetus_mHR_decel,MOTOR GROSS SKILLS SCORE,-0.049857744770641074,0.6956167475233459,64,spearman,False,False
sampen_fetus_mHR_decel,MOTOR COMPOSITE SCORE,-0.10299680788173185,0.4218124690324575,63,spearman,False,True
sampen_mother_mHR_decel,Mother Score_PSS,-0.015452924295442665,0.8680902869692366,118,spearman,False,False
sampen_mother_mHR_decel,Mother Score PDQ,-0.1403412985099036,0.12957490820461706,118,spearman,False,False
sampen_mother_mHR_decel,Mother CORTISOL (pg/mg of maternal hair),-0.03665190002175676,0.7316245906827175,90,spearman,False,False
sampen_mother_mHR_decel,COG COMPOSITE SCORE,0.07599071198761093,0.5474137163494093,65,spearman,False,False
sampen_mother_mHR_decel,LANG RECEPT SCORE,0.0897222343697933,0.499174665679733,59,spearman,False,True
sampen_mother_mHR_decel,LANG EXPRES SCORE,0.13451024280967094,0.3097667558685289,59,spearman,False,True
sampen_mother_mHR_decel,LANG COMP SCORE,0.1483371159767452,0.2621870623097611,59,spearman,False,True
sampen_mother_mHR_decel,MOTOR FINE  SKILLS SCORE,-0.2299769986071828,0.06979774195438672,63,spearman,False,True
sampen_mother_mHR_decel,MOTOR GROSS SKILLS SCORE,-0.052755289055908795,0.6788647981713457,64,spearman,False,False
sampen_mother_mHR_decel,MOTOR COMPOSITE SCORE,-0.09832031937325897,0.44330379520689933,63,spearman,False,True
max_TE_fHR_all,Mother Score_PSS,-0.13344682918475023,0.14969090398986837,118,spearman,False,False
max_TE_fHR_all,Mother Score PDQ,-0.09270046924950531,0.31807714861414144,118,spearman,False,False
max_TE_fHR_all,Mother CORTISOL (pg/mg of maternal hair),0.08296294341314206,0.4369256111760441,90,spearman,False,False
max_TE_fHR_all,COG COMPOSITE SCORE,-0.08535609341328529,0.49901169697370085,65,spearman,False,False
